#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dhcp
#open	2017-09-07-21-09-18
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	mac	assigned_ip	lease_time	trans_id
#types	time	string	addr	port	addr	port	string	addr	interval	count
1504832958.130028	CeMiZi46bdisPSs9t6	192.168.4.54	68	192.168.4.1	67	30:85:a9:25:92:a9	192.168.4.54	86400.000000	2704555324
1504840142.646030	CXztOB4nK9etwZ5sS7	255.255.255.255	68	192.168.4.15	67	00:0c:29:a6:72:c2	192.168.4.30	691200.000000	1963580901
1504840214.662050	CXztOB4nK9etwZ5sS7	255.255.255.255	68	192.168.4.15	67	00:0c:29:49:54:0d	192.168.4.31	691200.000000	695436325
1504840336.106049	Ccd7cTpUXPAeZ7PO2	255.255.255.255	68	192.168.4.15	67	00:0c:29:c1:9b:8d	192.168.4.32	691200.000000	4276612645
1504840497.366081	CnnLPa3gzcQlFYpY71	255.255.255.255	68	192.168.4.15	67	00:0c:29:a1:76:95	192.168.4.33	691200.000000	884023118
1504840513.538052	CnnLPa3gzcQlFYpY71	255.255.255.255	68	192.168.4.15	67	00:0c:29:0e:8d:6f	192.168.4.34	691200.000000	3188320413
1504840542.310029	CnnLPa3gzcQlFYpY71	255.255.255.255	68	192.168.4.15	67	00:0c:29:c6:0d:64	192.168.4.35	691200.000000	1634859421
1504840550.870070	CnnLPa3gzcQlFYpY71	255.255.255.255	68	192.168.4.15	67	00:0c:29:23:2e:91	192.168.4.36	691200.000000	1934521627
1504840627.982029	CNleFB4rnRLMr4A5T7	255.255.255.255	68	192.168.4.15	67	00:0c:29:fe:4a:d1	192.168.4.37	691200.000000	1460070732
1504840629.982044	CNleFB4rnRLMr4A5T7	255.255.255.255	68	192.168.4.15	67	00:0c:29:ad:0c:5f	192.168.4.38	691200.000000	1071311397
1504840640.310040	CNleFB4rnRLMr4A5T7	255.255.255.255	68	192.168.4.15	67	00:0c:29:ad:0c:5f	192.168.4.39	691200.000000	3063510418
1504840666.690027	CNleFB4rnRLMr4A5T7	255.255.255.255	68	192.168.4.15	67	00:0c:29:fe:4a:d1	192.168.4.40	691200.000000	2351200409
1504840699.350042	CNleFB4rnRLMr4A5T7	255.255.255.255	68	192.168.4.15	67	00:0c:29:ff:27:ab	192.168.4.41	691200.000000	2690716537
1504840702.582051	CNleFB4rnRLMr4A5T7	255.255.255.255	68	192.168.4.15	67	00:0c:29:56:cc:70	192.168.4.42	691200.000000	634583715
1504840864.686040	CtQwqs4rX8qbvVFtm6	255.255.255.255	68	192.168.4.15	67	00:0c:29:6e:91:05	192.168.4.43	691200.000000	2476101547
1504840913.418064	CtQwqs4rX8qbvVFtm6	255.255.255.255	68	192.168.4.15	67	00:0c:29:1c:27:9c	192.168.4.44	691200.000000	1886514040
1504840913.418064	CtQwqs4rX8qbvVFtm6	255.255.255.255	68	192.168.4.15	67	00:0c:29:f8:b1:4c	192.168.4.45	691200.000000	476661786
