host+fp,port
 192.168.1.3 (RBS50.home)," 80/open/tcp//http///, 443/open/tcp//https///, 631/open/tcp//ipp///, 20005/open/tcp//btx///, 49152/open/tcp//unknown///"
 192.168.1.9 (WDMyCloudEX4.home)," 80/open/tcp//http///, 139/open/tcp//netbios-ssn///, 443/open/tcp//https///, 445/open/tcp//microsoft-ds///, 548/open/tcp//afp///, 3306/open/tcp//mysql///, 3689/open/tcp//rendezvous///, 8181/open/tcp//intermapper///, 9000/open/tcp//cslistener///, 49152/open/tcp//unknown///"
 192.168.1.14 ()," 22/filtered/tcp//ssh///, 80/open/tcp//http///, 554/open/tcp//rtsp///, 8000/open/tcp//http-alt///, 8200/open/tcp//trivnet1///"
 192.168.1.15 ()," 22/filtered/tcp//ssh///, 80/open/tcp//http///, 554/open/tcp//rtsp///, 8000/open/tcp//http-alt///, 8200/open/tcp//trivnet1///"
 192.168.1.21 (DESKTOP-6HKLO8I.home)," 80/open/tcp//http///, 443/open/tcp//https///"
 192.168.1.36 (RBR50.home)," 53/open/tcp//domain///, 80/open/tcp//http///, 443/open/tcp//https///, 631/open/tcp//ipp///, 5555/open/tcp//freeciv///, 20005/open/tcp//btx///, 49152/open/tcp//unknown///"
 192.168.1.38 (new-host-5.home), 5001/open/tcp//commplex-link///
 192.168.1.64 ()," 22/open/tcp//ssh///, 80/open/tcp//http///, 554/open/tcp//rtsp///, 8000/open/tcp//http-alt///, 8200/open/tcp//trivnet1///, 49152/open/tcp//unknown///"
 192.168.1.101 (IP-STB2.home), 8082/open/tcp//blackice-alerts///
 192.168.1.102 (IP-STB1.home), 8082/open/tcp//blackice-alerts///
 192.168.1.107 (IP-STB4.home), 8082/open/tcp//blackice-alerts///
 192.168.1.254 ()," 80/open/tcp//http///, 554/open/tcp//rtsp///, 9010/open/tcp//sdr///"
