time,client_ip,server_ip,d,connection,mtu,g,raw_ip
[2017/08/23 22:55:40],192.168.0.17/61407,173.241.242.220/80,subj=cli,link=Ethernet or modem,1500,,
[2017/08/23 22:55:40],192.168.0.17/61407,173.241.242.220/80,subj=srv,os=???,9,params=tos:0x08,"raw_sig=4:55+9:0:1460:mss*20,9:mss,nop,nop,sok,nop,ws:df:0"
[2017/08/23 22:55:40],192.168.0.17/61407,173.241.242.220/80,subj=srv,link=Ethernet or modem,1500,,
[2017/08/23 22:55:41],192.168.0.17/61408,173.241.242.220/80,subj=cli,os=Mac OS X,0,params=generic,"raw_sig=4:64+0:0:1460:65535,5:mss,nop,ws,nop,nop,ts,sok,eol+1:df,id+:0"
[2017/08/23 22:55:41],192.168.0.17/61408,173.241.242.220/80,subj=cli,link=Ethernet or modem,1500,,
[2017/08/23 22:55:41],192.168.0.17/61408,173.241.242.220/80,subj=cli,uptime=13 days 16 hrs 20 min (modulo 49 days),992.00 ,,
[2017/08/23 22:55:41],192.168.0.17/61408,173.241.242.220/80,subj=srv,os=???,9,params=tos:0x08,"raw_sig=4:55+9:0:1460:mss*20,9:mss,nop,nop,sok,nop,ws:df:0"
[2017/08/23 22:55:41],192.168.0.17/61408,173.241.242.220/80,subj=srv,link=Ethernet or modem,1500,,
[2017/08/23 22:55:41],192.168.0.17/61408,173.241.242.220/80,subj=cli,app=???,,params=none,"raw_sig=1:Host,Connection=[keep-alive],User-Agent,Accept=[image/webp,image/apng,image/*,*/*;q=0.8],?Referer,Accept-Encoding=[gzip, deflate],Accept-Language=[en-US,en;q=0.8],?Cookie:Accept-Charset,Keep-Alive:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
[2017/08/23 22:55:41],192.168.0.17/61408,173.241.242.220/80,subj=srv,app=???,,params=none,"raw_sig=1:Server,?Pragma,P3P=[CP=""CUR ADM OUR NOR STA NID""],?Expires,Date,Content-Type,?Content-Length,?Cache-Control:Connection,Keep-Alive,Accept-Ranges:OXGW/11.107.1"
[2017/08/23 22:55:49],192.168.0.17/61409,151.101.193.34/80,subj=cli,os=Mac OS X,0,params=generic,"raw_sig=4:64+0:0:1460:65535,5:mss,nop,ws,nop,nop,ts,sok,eol+1:df,id+:0"
[2017/08/23 22:55:49],192.168.0.17/61409,151.101.193.34/80,subj=cli,link=Ethernet or modem,1500,,
[2017/08/23 22:55:49],192.168.0.17/61409,151.101.193.34/80,subj=cli,uptime=13 days 16 hrs 20 min (modulo 49 days),997.30 ,,
[2017/08/23 22:55:49],192.168.0.17/61410,151.101.193.34/80,subj=cli,os=Mac OS X,0,params=generic,"raw_sig=4:64+0:0:1460:65535,5:mss,nop,ws,nop,nop,ts,sok,eol+1:df,id+:0"
[2017/08/23 22:55:49],192.168.0.17/61410,151.101.193.34/80,subj=cli,link=Ethernet or modem,1500,,
[2017/08/23 22:55:49],192.168.0.17/61409,151.101.193.34/80,subj=srv,os=???,6,params=tos:0x08,"raw_sig=4:58+6:0:1396:mss*20,9:mss,sok,ts,nop,ws:df:0"
[2017/08/23 22:55:49],192.168.0.17/61409,151.101.193.34/80,subj=srv,link=???,1436,,
[2017/08/23 22:55:49],192.168.0.17/61410,151.101.193.34/80,subj=srv,os=???,6,params=tos:0x08,"raw_sig=4:58+6:0:1396:mss*20,9:mss,sok,ts,nop,ws:df:0"
[2017/08/23 22:55:49],192.168.0.17/61410,151.101.193.34/80,subj=srv,link=???,1436,,
[2017/08/23 22:55:49],192.168.0.17/61409,151.101.193.34/80,subj=cli,app=???,,params=none,"raw_sig=1:Host,Connection=[keep-alive],Upgrade-Insecure-Requests=[1],User-Agent,Accept=[text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8],Accept-Encoding=[gzip, deflate],Accept-Language=[en-US,en;q=0.8],?Cookie:Accept-Charset,Keep-Alive:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
[2017/08/23 22:55:49],192.168.0.17/61409,151.101.193.34/80,subj=srv,app=???,,params=anonymous,"raw_sig=1:X-Kinja=[kinja-mantle-kube02-2785261943-t7mzg #843],?Location,?Cache-Control,X-Kinja-Build=[843],X-Kinja-Server=[kinja-mantle-kube02-2785261943-t7mzg],X-Kinja-Revision=[002ec7a14fe2164ffb9007cf71e269f76045f743],X-XSS-Protection=[1; mode=block],X-Content-Type-Options=[nosniff],Via=[1.1 varnish],Fastly-Debug-Digest=[ddccf1ab3d1c0303ad02e1ea140e86a0b4118babd5a13a3c3f2dd81cd80f6dd9],x-cdn-fetch=[mantle-default],?Content-Length,Accept-Ranges=[bytes],Date,Via=[1.1 varnish],Age=[0],Connection=[keep-alive],X-Served-By=[cache-jfk8128-JFK, cache-mia1323-MIA],X-Cache=[MISS, HIT, MISS],X-Cache-Hits=[1, 0],X-Timer=[S1503543251.312497,VS0,VE31],X-Geo-Segment=[C],?Set-Cookie:Content-Type,Keep-Alive:"
[2017/08/23 22:55:49],192.168.0.17/61409,151.101.193.34/80,subj=srv,reason=via,"1,1,1,1",,
[2017/08/23 22:55:49],192.168.0.17/61411,151.101.193.34/80,subj=cli,os=Mac OS X,0,params=generic,"raw_sig=4:64+0:0:1460:65535,5:mss,nop,ws,nop,nop,ts,sok,eol+1:df,id+:0"
[2017/08/23 22:55:49],192.168.0.17/61411,151.101.193.34/80,subj=cli,link=Ethernet or modem,1500,,
[2017/08/23 22:55:49],192.168.0.17/61411,151.101.193.34/80,subj=cli,uptime=13 days 16 hrs 20 min (modulo 49 days),990.34 ,,
[2017/08/23 22:55:49],192.168.0.17/61412,151.101.193.34/80,subj=cli,os=Mac OS X,0,params=generic,"raw_sig=4:64+0:0:1460:65535,5:mss,nop,ws,nop,nop,ts,sok,eol+1:df,id+:0"
[2017/08/23 22:55:49],192.168.0.17/61412,151.101.193.34/80,subj=cli,link=Ethernet or modem,1500,,
[2017/08/23 22:55:49],192.168.0.17/61411,151.101.193.34/80,subj=srv,os=???,6,params=tos:0x08,"raw_sig=4:58+6:0:1396:mss*20,9:mss,sok,ts,nop,ws:df:0"
[2017/08/23 22:55:49],192.168.0.17/61411,151.101.193.34/80,subj=srv,link=???,1436,,
[2017/08/23 22:55:49],192.168.0.17/61412,151.101.193.34/80,subj=srv,os=???,6,params=tos:0x08,"raw_sig=4:58+6:0:1396:mss*20,9:mss,sok,ts,nop,ws:df:0"
[2017/08/23 22:55:49],192.168.0.17/61412,151.101.193.34/80,subj=srv,link=???,1436,,
[2017/08/23 22:55:49],192.168.0.17/61411,151.101.193.34/80,subj=cli,app=???,,params=none,"raw_sig=1:Host,Connection=[keep-alive],Upgrade-Insecure-Requests=[1],User-Agent,Accept=[text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8],Accept-Encoding=[gzip, deflate],Accept-Language=[en-US,en;q=0.8],?Cookie:Accept-Charset,Keep-Alive:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
[2017/08/23 22:55:49],192.168.0.17/61411,151.101.193.34/80,subj=srv,app=???,,params=anonymous,"raw_sig=1:P3P=[CP=""IDC DSP COR CURa ADMa OUR IND PHY ONL COM STA""],X-Kinja=[kinja-mantle-kube02-2785261943-t7mzg #843],Content-Type,?Cache-Control,X-Kinja-Build=[843],X-Kinja-Server=[kinja-mantle-kube02-2785261943-t7mzg],Content-Encoding=[gzip],X-Kinja-Revision=[002ec7a14fe2164ffb9007cf71e269f76045f743],X-XSS-Protection=[1; mode=block],X-Content-Type-Options=[nosniff],Via=[1.1 varnish],Fastly-Debug-Digest=[9fde695ddb870bfff7810a9a8cb94eeee17b2055099ac008665801ea6a3d972b],x-cdn-fetch=[mantle-default],?Content-Length,Accept-Ranges=[bytes],Date,Via=[1.1 varnish],Age=[52],Connection=[keep-alive],X-Served-By=[cache-jfk8144-JFK, cache-mia1326-MIA],X-Cache=[MISS, HIT, HIT],X-Cache-Hits=[2, 6],X-Timer=[S1503543251.384138,VS0,VE0],?Vary,X-Geo-Segment=[C],?Set-Cookie:Keep-Alive:"
[2017/08/23 22:55:49],192.168.0.17/61411,151.101.193.34/80,subj=srv,reason=via,"2,2,2,2",,
[2017/08/23 22:55:49],192.168.0.17/61413,151.101.129.34/443,subj=cli,os=Mac OS X,0,params=generic,"raw_sig=4:64+0:0:1460:65535,5:mss,nop,ws,nop,nop,ts,sok,eol+1:df,id+:0"
[2017/08/23 22:55:49],192.168.0.17/61413,151.101.129.34/443,subj=cli,link=Ethernet or modem,1500,,
[2017/08/23 22:55:49],192.168.0.17/61413,151.101.129.34/443,subj=cli,uptime=15 days 4 hrs 49 min (modulo 55 days),902.78 ,,
[2017/08/23 22:55:49],192.168.0.17/61414,151.101.129.34/80,subj=cli,os=Mac OS X,0,params=generic,"raw_sig=4:64+0:0:1460:65535,5:mss,nop,ws,nop,nop,ts,sok,eol+1:df,id+:0"
[2017/08/23 22:55:49],192.168.0.17/61414,151.101.129.34/80,subj=cli,link=Ethernet or modem,1500,,
[2017/08/23 22:55:49],192.168.0.17/61415,151.101.129.34/80,subj=cli,os=Mac OS X,0,params=generic,"raw_sig=4:64+0:0:1460:65535,5:mss,nop,ws,nop,nop,ts,sok,eol+1:df,id+:0"
[2017/08/23 22:55:49],192.168.0.17/61415,151.101.129.34/80,subj=cli,link=Ethernet or modem,1500,,
[2017/08/23 22:55:49],192.168.0.17/61413,151.101.129.34/443,subj=srv,os=???,6,params=tos:0x08,"raw_sig=4:58+6:0:1396:mss*20,9:mss,sok,ts,nop,ws:df:0"
[2017/08/23 22:55:49],192.168.0.17/61413,151.101.129.34/443,subj=srv,link=???,1436,,
[2017/08/23 22:55:49],192.168.0.17/61414,151.101.129.34/80,subj=srv,os=???,6,params=tos:0x08,"raw_sig=4:58+6:0:1396:mss*20,9:mss,sok,ts,nop,ws:df:0"
[2017/08/23 22:55:49],192.168.0.17/61414,151.101.129.34/80,subj=srv,link=???,1436,,
[2017/08/23 22:55:49],192.168.0.17/61415,151.101.129.34/80,subj=srv,os=???,6,params=tos:0x08,"raw_sig=4:58+6:0:1396:mss*20,9:mss,sok,ts,nop,ws:df:0"
[2017/08/23 22:55:49],192.168.0.17/61415,151.101.129.34/80,subj=srv,link=???,1436,,
[2017/08/23 22:55:49],192.168.0.17/61414,151.101.129.34/80,subj=cli,app=???,,params=none,"raw_sig=1:Host,Connection=[keep-alive],User-Agent,Accept=[text/css,*/*;q=0.1],?Referer,Accept-Encoding=[gzip, deflate],Accept-Language=[en-US,en;q=0.8]:Accept-Charset,Keep-Alive:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
[2017/08/23 22:55:49],192.168.0.17/61415,151.101.129.34/80,subj=cli,app=???,,params=none,"raw_sig=1:Host,Connection=[keep-alive],User-Agent,Accept=[text/css,*/*;q=0.1],?Referer,Accept-Encoding=[gzip, deflate],Accept-Language=[en-US,en;q=0.8]:Accept-Charset,Keep-Alive:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
[2017/08/23 22:55:49],192.168.0.17/61416,151.101.1.34/80,subj=cli,os=Mac OS X,0,params=generic,"raw_sig=4:64+0:0:1460:65535,5:mss,nop,ws,nop,nop,ts,sok,eol+1:df,id+:0"
[2017/08/23 22:55:49],192.168.0.17/61416,151.101.1.34/80,subj=cli,link=Ethernet or modem,1500,,
[2017/08/23 22:55:49],192.168.0.17/61414,151.101.129.34/80,subj=srv,app=???,,params=none,"raw_sig=1:x-amz-id-2=[/KTi/6w9qTmnwpaUcwbo92t3VEWe/1uckp+GwLmwTbBtLGhxIsONBrA/sRprU0Kv+XivVB3dF0g=],x-amz-request-id=[EFD36BD774B747CC],?Last-Modified,?ETag,Content-Type,Server,Access-Control-Allow-Origin=[*],X-Content-Type-Options=[nosniff],?Cache-Control,Content-Encoding=[gzip],?Content-Length,Accept-Ranges=[bytes],Date,Via=[1.1 varnish],Age=[27],Connection=[keep-alive],X-Served-By=[cache-mia1323-MIA],X-Cache=[HIT],X-Cache-Hits=[12],X-Timer=[S1503543251.453620,VS0,VE0],?Vary:Keep-Alive:AmazonS3"
[2017/08/23 22:55:49],192.168.0.17/61414,151.101.129.34/80,subj=srv,reason=via,"1,1,1,1",,
[2017/08/23 22:55:49],192.168.0.17/61417,151.101.1.34/80,subj=cli,os=Mac OS X,0,params=generic,"raw_sig=4:64+0:0:1460:65535,5:mss,nop,ws,nop,nop,ts,sok,eol+1:df,id+:0"
[2017/08/23 22:55:49],192.168.0.17/61417,151.101.1.34/80,subj=cli,link=Ethernet or modem,1500,,
[2017/08/23 22:55:49],192.168.0.17/61415,151.101.129.34/80,subj=srv,app=???,,params=none,"raw_sig=1:x-amz-id-2=[s+oziZ+QdlsX0AOqvC+p8qI4kEksdOyahGIhHmi1apaxT92NayqhKs2TTGW6s4m0/XgBgriS43U=],x-amz-request-id=[71D95AB7FDB97F14],?Last-Modified,?ETag,Content-Type,Server,Access-Control-Allow-Origin=[*],X-Content-Type-Options=[nosniff],?Cache-Control,Content-Encoding=[gzip],?Content-Length,Accept-Ranges=[bytes],Date,Via=[1.1 varnish],Age=[30],Connection=[keep-alive],X-Served-By=[cache-mia1321-MIA],X-Cache=[HIT],X-Cache-Hits=[1457],X-Timer=[S1503543251.456055,VS0,VE0],?Vary:Keep-Alive:AmazonS3"
[2017/08/23 22:55:49],192.168.0.17/61415,151.101.129.34/80,subj=srv,reason=via,"2,2,2,2",,
